NOI149.2,GPA.079,RC-1.17,RC27-0.99,XR-0.91,XR27-0.77,RCAA-4.71,XR+-4.49,RCWIN-0.55,XRWIN-0.52,BABIP.125
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.09,0.025,36.00,3.27,0.029,-,0.057,0.156,-,33.3%,
