HQS率-,SQS率-,被打率.286,被BABIP.289,被出塁率.392,被長打率.429,K/BB0.50,K/93.27,BB/96.55,HR/90.82,GO/AO0.80,援護率-,IPR1.22,NHB%44.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.37,59.1%,-4.91,-0.57,-5.28,33,6.0,0,0,11.0,9,4,5,
