条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.462,15,13,6,1,0,1,1,1,0,0,1
対左打者,0.207,36,29,6,0,1,0,3,7,0,0,0
