条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.2,37,35,7,2,0,2,2,6,2,0,0,0,0.243
1塁,0.2,11,10,2,0,0,0,0,3,1,0,0,0,0.273
2塁,0.0,10,8,0,0,0,0,0,2,2,0,0,0,0.2
3塁,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0.0
1・2塁,0.2,5,5,1,1,0,0,1,1,0,0,0,0,0.2
1・3塁,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0.0
2・3塁,0.0,2,1,0,0,0,0,0,0,1,0,0,0,0.5
満塁,0.0,1,1,0,0,0,0,0,1,0,0,0,0,0.0
得点圏,0.056,21,18,1,1,0,0,2,4,3,0,0,0,0.19
