NOI332.4,GPA.180,RC3.97,RC271.98,XR4.25,XR272.12,RCAA-2.59,XR+-2.35,RCWIN-0.31,XRWIN-0.28,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.46,0.073,11.50,5.31,0.143,31.50,0.238,0.463,0.00,30.4%,
