防御率1.02,試合37,先発0,救援37,連投(試)0,連投(日)0,勝利2,敗戦1,HLD7,Ｓ11,ＨＰ9,ＳＰ13,救勝2,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,35.1,142,606,17.2,20,2,43,15,2,2,2,1,6,4,0.99,-
