HQS率-,SQS率-,被打率.164,被BABIP.231,被出塁率.264,被長打率.238,K/BB2.87,K/910.95,BB/93.82,HR/90.51,GO/AO0.71,援護率-,IPR5.89,NHB%35.1%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.31,90.6%,7.13,0.82,7.93,306,4.2,0,0,35.1,6,13,32,
