NOI0.0,GPA.000,RC-0.54,RC27-4.86,XR-0.56,XR27-5.02,RCAA-0.73,XR+-0.75,RCWIN-0.09,XRWIN-0.09,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.000,-,0.000,0.000,-,50.0%,
