NOI384.1,GPA.208,RC9.84,RC272.95,XR10.70,XR273.21,RCAA-1.57,XR+-0.76,RCWIN-0.18,XRWIN-0.09,BABIP.188
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.34,0.095,10.91,3.75,0.181,21.00,0.286,0.573,0.00,40.0%,
