打率.171,試合38,打席120,打数105,得点7,安打18,内安0,内安率0.0,２Ｂ4,３Ｂ0,本塁5,HR勝敗5-0-0,塁打37,打点8,三振32
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
11,2,3,0,1,0,0,-,6,0,2,.048,.267,.352,.619
