球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,177,40.0%,147.1,19,27,42,67,49.7%,22.9%,.200,30,6,1,8,6,1
フォーク,53,12.0%,136.1,17,1,12,17,56.6%,48.6%,.154,13,2,1,8,0,0
スライダー,52,11.8%,129.6,7,3,9,20,36.5%,24.1%,.176,17,3,1,4,0,0
チェンジアップ,51,11.5%,130.0,21,0,7,17,54.9%,61.8%,.143,14,2,1,8,0,1
カットボール,36,8.1%,137.1,3,4,7,11,38.9%,14.3%,.091,11,1,1,0,0,0
ツーシーム,23,5.2%,146.4,1,2,2,11,21.7%,10.0%,.143,7,1,0,0,1,0
カーブ,19,4.3%,116.8,5,4,3,3,63.2%,41.7%,.333,6,2,0,2,0,0
シュート,15,3.4%,145.6,1,1,3,7,33.3%,14.3%,.333,3,1,0,0,1,1
スプリット,9,2.0%,140.0,3,0,1,3,44.4%,50.0%,.000,4,0,0,2,0,0
ナックルカーブ,6,1.4%,131.3,1,0,0,5,16.7%,100.0%,-,0,0,0,0,1,0
シンカー,1,0.2%,132.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
