球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,82,47.4%,146.9,10,10,26,17,56.1%,18.2%,.125,24,3,0,6,0,0
スライダー,24,13.9%,131.7,4,5,1,8,41.7%,36.4%,.333,6,2,0,0,0,0
カットボール,16,9.2%,136.7,4,2,3,2,56.3%,33.3%,.000,7,0,0,2,0,0
チェンジアップ,14,8.1%,131.2,0,1,4,3,35.7%,0.0%,.000,5,0,0,0,0,0
フォーク,12,6.9%,133.3,2,0,2,4,33.3%,25.0%,.167,6,1,0,2,0,0
カーブ,9,5.2%,116.8,2,2,0,4,44.4%,66.7%,-,0,0,0,0,0,0
シュート,8,4.6%,143.4,0,1,1,3,25.0%,0.0%,.333,3,1,0,0,0,0
ツーシーム,5,2.9%,136.3,0,0,3,0,60.0%,0.0%,.000,2,0,0,0,0,0
ナックルカーブ,2,1.2%,123.0,1,0,0,1,50.0%,100.0%,-,0,0,0,0,0,0
シンカー,1,0.6%,130.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
