条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.105,21,19,2,0,0,0,5,0,0,2,0
対左投手,0.147,35,34,5,3,0,0,5,0,0,1,0
