NOI195.0,GPA.107,RC-0.45,RC27-0.25,XR-0.31,XR27-0.17,RCAA-5.78,XR+-5.66,RCWIN-0.68,XRWIN-0.67,BABIP.163
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,5.60,0.057,-,0.057,0.213,-,17.9%,
