アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,16,32.7%,安打,7,100.0%
フライ,20,40.8%,四死球,0,0.0%
空三振,9,18.4%,失策出塁,0,0.0%
見三振,1,2.0%,野選,0,0.0%
犠打,3,6.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
