NOI169.0,GPA.087,RC-0.99,RC27-0.89,XR-0.79,XR27-0.71,RCAA-4.13,XR+-3.95,RCWIN-0.49,XRWIN-0.46,BABIP.133
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.08,0.062,33.00,2.54,0.036,-,0.071,0.185,-,42.4%,
