NOI333.3,GPA.175,RC0.22,RC271.97,XR0.22,XR272.00,RCAA-0.16,XR+-0.16,RCWIN-0.02,XRWIN-0.02,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.00,0.000,-,0.000,0.333,-,25.0%,
