NOI313.5,GPA.160,RC0.68,RC270.87,XR0.77,XR270.98,RCAA-1.79,XR+-1.72,RCWIN-0.21,XRWIN-0.20,BABIP.231
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.38,0.107,8.67,3.25,0.048,-,0.190,0.368,-,42.3%,
