NOI199.3,GPA.103,RC-0.72,RC27-0.60,XR-0.44,XR27-0.37,RCAA-4.04,XR+-3.78,RCWIN-0.48,XRWIN-0.45,BABIP.133
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.00,0.027,35.00,35.00,0.000,-,0.000,0.138,0.00,5.7%,
