NOI117.7,GPA.061,RC-2.84,RC27-1.34,XR-2.41,XR27-1.14,RCAA-8.64,XR+-8.24,RCWIN-1.02,XRWIN-0.97,BABIP.182
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.03,0.017,61.00,1.97,-0.000,-,0.019,0.100,-,52.5%,
