チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.0,4,11,8,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0.0,0.0,0.0
ＤｅＮＡ,0.167,3,6,6,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.167,0.167,0.333
広島,0.0,6,15,13,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,1,0.071,0.0,0.071
ヤクルト,0.125,4,10,8,0,1,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0.125,0.125,0.25
中日,0.077,6,14,13,0,1,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0.077,0.077,0.154
