球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,254,40.3%,147.5,17,50,52,76,46.9%,13.3%,.271,70,19,0,12,3,1
カットボール,94,14.9%,137.1,6,25,23,28,57.4%,14.6%,.143,14,2,0,2,0,1
フォーク,62,9.8%,136.4,14,9,16,13,62.9%,35.0%,.105,19,2,0,9,0,0
チェンジアップ,57,9.0%,131.5,7,10,4,20,36.8%,25.9%,.294,17,5,0,2,0,0
スライダー,53,8.4%,128.8,5,13,6,23,45.3%,29.4%,.000,9,0,0,3,0,0
カーブ,43,6.8%,118.8,3,16,4,14,53.5%,23.1%,.286,7,2,0,1,0,0
ツーシーム,20,3.2%,142.2,2,2,1,7,25.0%,18.2%,.111,9,1,0,1,0,0
スプリット,12,1.9%,136.8,2,1,1,5,33.3%,33.3%,.333,3,1,0,0,0,0
シンカー,11,1.7%,138.2,0,0,1,7,9.1%,0.0%,.333,3,1,0,0,0,0
パワーカーブ,9,1.4%,123.6,1,2,4,2,77.8%,20.0%,.000,1,0,0,1,0,0
ナックルカーブ,8,1.3%,126.6,1,1,2,2,50.0%,20.0%,.333,3,1,0,1,0,0
シュート,7,1.1%,138.9,0,2,3,1,71.4%,0.0%,.000,1,0,0,0,0,0
ワンシーム,1,0.2%,141.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
