NOI328.7,GPA.173,RC9.82,RC272.14,XR10.22,XR272.23,RCAA-6.33,XR+-6.11,RCWIN-0.73,XRWIN-0.71,BABIP.272
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.027,41.00,5.13,0.032,-,0.090,0.410,0.00,22.0%,
