打率.218,試合60,打席164,打数156,得点13,安打34,内安5,内安率14.7,２Ｂ3,３Ｂ1,本塁0,HR勝敗0,塁打39,打点11,三振32
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
4,1,2,1,1,5,0,100.0,1,0,0,.244,.245,.250,.495
