条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.234,135,128,30,2,1,0,24,3,2,1,1
対左投手,0.143,29,28,4,1,0,0,8,1,0,0,0
