打率.214,試合51,打席130,打数117,得点7,安打25,内安1,内安率4.0,２Ｂ8,３Ｂ1,本塁1,HR勝敗1-0-0,塁打38,打点7,三振34
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
9,1,1,2,1,2,0,100.0,1,0,3,.194,.273,.325,.598
