条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.188,36,32,6,3,1,0,12,1,1,2,0
対左投手,0.224,94,85,19,5,0,1,22,8,0,0,1
