アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,3,16.7%,安打,2,50.0%
フライ,8,44.4%,四死球,2,50.0%
空三振,3,16.7%,失策出塁,0,0.0%
見三振,4,22.2%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
