NOI215.2,GPA.107,RC-0.20,RC27-0.31,XR0.00,XR270.01,RCAA-2.30,XR+-2.10,RCWIN-0.27,XRWIN-0.25,BABIP.154
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.29,0.082,11.00,3.14,0.000,-,0.100,0.222,-,40.9%,
