HQS率-,SQS率-,被打率.222,被BABIP.261,被出塁率.313,被長打率.370,K/BB1.25,K/96.14,BB/94.91,HR/90.00,GO/AO1.29,援護率-,IPR1.83,NHB%25.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.04,60.0%,-1.34,-0.16,-0.58,22,5.1,0,0,7.1,4,2,4,
