打率.227,試合61,打席192,打数176,得点13,安打40,内安3,内安率7.5,２Ｂ9,３Ｂ1,本塁1,HR勝敗0-1-0,塁打54,打点14,三振37
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
12,0,0,1,3,1,1,50.0,0,0,4,.270,.272,.307,.579
