アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,53,38.4%,安打,40,74.1%
フライ,47,34.1%,四死球,12,22.2%
空三振,29,21.0%,失策出塁,2,3.7%
見三振,8,5.8%,野選,0,0.0%
犠打,1,0.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
