NOI374.5,GPA.199,RC13.74,RC272.56,XR14.53,XR272.71,RCAA-4.51,XR+-3.81,RCWIN-0.53,XRWIN-0.45,BABIP.277
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.32,0.045,16.00,5.19,0.080,176.00,0.148,0.468,1.00,26.0%,
