打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.241,30,95,87,6,21,6,0,0,27,9,18,5,0,0,1,2,1,1,0,0.277,0.31,0.587
Visitor,0.213,31,97,89,7,19,3,1,1,27,5,19,7,0,0,0,1,0,0,0,0.268,0.303,0.571
