左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
46.0% (63),46.0% (63),46.0% (63),21.2% (29),21.2% (29),21.2% (29),32.8% (45),32.8% (45),32.8% (45)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
46.2% (18),0.0% (0),46.4% (45),28.2% (11),0.0% (0),18.6% (18),25.6% (10),100.0% (1),35.1% (34)
