HQS率0.0%,SQS率0.0%,被打率.484,被BABIP.483,被出塁率.500,被長打率.710,K/BB1.00,K/91.50,BB/91.50,HR/91.50,GO/AO1.14,援護率1.50,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.07,61.6%,-4.77,-0.55,-4.97,18,0.0,6,1,0.0,0,0,0,
