HQS率0.0%,SQS率0.0%,被打率.167,被BABIP.211,被出塁率.286,被長打率.167,K/BB2.50,K/96.43,BB/92.57,HR/90.00,GO/AO1.33,援護率0.00,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.02,100.0%,2.60,0.30,2.36,21,0.0,2,0,5.0,0,0,4,
