防御率0.00,試合5,先発1,救援4,連投(試)1,連投(日)1,勝利0,敗戦0,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
-,7.0,28,109,15.6,4,0,5,2,0,2,0,0,0,0,0.86,0.0%
