球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,729,49.8%,146.0,54,136,195,239,52.8%,15.3%,.218,124,27,1,29,12,2
スライダー,210,14.4%,128.1,21,52,38,69,52.9%,23.6%,.156,45,7,0,16,5,2
カットボール,171,11.7%,137.1,11,35,39,55,49.7%,13.6%,.206,34,7,0,7,5,2
フォーク,92,6.3%,135.5,10,9,20,35,42.4%,20.8%,.130,23,3,0,6,3,0
ツーシーム,67,4.6%,145.0,6,9,17,23,47.8%,17.1%,.214,14,3,0,2,0,0
チェンジアップ,55,3.8%,133.5,8,6,8,29,40.0%,40.0%,.125,8,1,0,4,0,0
カーブ,52,3.6%,117.6,5,8,6,24,36.5%,25.0%,.364,11,4,0,2,0,0
スプリット,32,2.2%,139.1,4,3,4,10,34.4%,21.1%,.250,12,3,0,1,0,0
ナックルカーブ,19,1.3%,127.8,1,2,3,9,31.6%,12.5%,.250,4,1,0,1,0,0
シンカー,19,1.3%,132.6,4,3,3,5,52.6%,36.4%,.333,3,1,0,0,0,0
シュート,10,0.7%,142.2,2,0,1,3,30.0%,28.6%,.200,5,1,0,1,1,0
縦スライダー,3,0.2%,126.0,0,0,1,2,33.3%,0.0%,-,0,0,0,0,0,0
スローボール,2,0.1%,95.5,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
スラーブ,1,0.1%,94.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
スクリュー,1,0.1%,136.0,0,0,0,0,0.0%,0.0%,1.000,1,1,0,0,0,0
