左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
39.3% (83),39.3% (83),39.3% (83),18.5% (39),18.5% (39),18.5% (39),42.2% (89),42.2% (89),42.2% (89)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
41.4% (24),0.0% (0),38.8% (59),25.9% (15),0.0% (0),15.8% (24),32.8% (19),100.0% (1),45.4% (69)
