球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,133,43.5%,147.2,15,22,34,38,53.4%,20.5%,.370,27,10,0,7,3,1
フォーク,35,11.4%,135.7,8,2,6,15,45.7%,44.4%,.167,6,1,0,2,2,0
チェンジアップ,34,11.1%,129.5,3,5,4,15,35.3%,21.4%,.111,9,1,0,2,0,0
カットボール,33,10.8%,139.1,4,3,5,14,36.4%,25.0%,.182,11,2,0,4,0,0
スライダー,30,9.8%,131.1,4,3,7,12,46.7%,26.7%,.125,8,1,0,4,0,0
ツーシーム,15,4.9%,136.3,3,4,1,4,53.3%,42.9%,.667,3,2,0,0,0,0
カーブ,13,4.2%,119.0,1,7,0,4,61.5%,50.0%,.000,2,0,0,1,0,0
シュート,7,2.3%,140.3,0,3,1,3,57.1%,0.0%,-,0,0,0,0,0,0
ナックルカーブ,2,0.7%,129.0,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
スプリット,2,0.7%,140.5,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
縦スライダー,1,0.3%,-,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
高速スライダー,1,0.3%,135.0,0,0,0,1,0.0%,-%,-,0,0,0,0,1,0
