NOI442.9,GPA.246,RC13.26,RC274.26,XR13.93,XR274.48,RCAA2.23,XR+2.78,RCWIN0.26,XRWIN0.32,BABIP.317
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.14,0.031,22.40,3.03,0.217,15.14,0.264,0.663,1.75,43.8%,
