NOI399.1,GPA.210,RC11.94,RC272.52,XR12.13,XR272.56,RCAA-4.31,XR+-4.21,RCWIN-0.51,XRWIN-0.50,BABIP.259
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.53,0.088,9.50,5.03,0.092,76.00,0.191,0.484,0.00,31.6%,
