アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,35,29.2%,安打,32,62.7%
フライ,51,42.5%,四死球,19,37.3%
空三振,23,19.2%,失策出塁,0,0.0%
見三振,11,9.2%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
