NOI415.0,GPA.228,RC2.17,RC274.51,XR1.97,XR274.09,RCAA0.40,XR+0.18,RCWIN0.05,XRWIN0.02,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.20,0.042,18.00,3.60,0.176,-,0.294,0.692,0.00,33.3%,
