左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
33.3% (4),33.3% (4),33.3% (4),25.0% (3),25.0% (3),25.0% (3),41.7% (5),41.7% (5),41.7% (5)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
50.0% (2),- (0),25.0% (2),25.0% (1),- (0),25.0% (2),25.0% (1),- (0),50.0% (4)
