球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,832,45.1%,148.5,61,158,187,254,48.8%,14.5%,.318,195,62,7,25,10,4
スライダー,575,31.2%,128.7,76,121,76,206,47.5%,30.6%,.184,147,27,0,54,10,4
フォーク,412,22.4%,139.2,81,37,68,145,45.1%,35.2%,.343,102,35,0,22,4,0
カットボール,23,1.2%,138.3,5,5,3,8,56.5%,50.0%,.333,3,1,0,1,0,0
カーブ,1,0.1%,100.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
