HQS率23.8%,SQS率28.6%,被打率.280,被BABIP.345,被出塁率.326,被長打率.403,K/BB4.08,K/98.03,BB/91.97,HR/90.55,GO/AO0.98,援護率4.91,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.59,69.5%,-12.51,-1.45,-12.39,423,0.0,121,66,0.0,0,0,0,
