HQS率0.0%,SQS率0.0%,被打率.421,被BABIP.571,被出塁率.476,被長打率.632,K/BB5.00,K/913.50,BB/92.70,HR/90.00,GO/AO1.50,援護率0.00,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.57,50.0%,-3.79,-0.45,-3.90,10,0.0,4,0,0.0,0,0,0,
