アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,3,30.0%,安打,8,72.7%
フライ,2,20.0%,四死球,2,18.2%
空三振,4,40.0%,失策出塁,1,9.1%
見三振,1,10.0%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
