防御率3.05,試合56,先発1,救援55,連投(試)0,連投(日)0,勝利3,敗戦4,HLD10,Ｓ16,ＨＰ13,ＳＰ19,救勝3,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.429,56.0,248,939,16.8,60,4,43,20,0,2,0,0,19,19,1.43,0.0%
