HQS率0.0%,SQS率0.0%,被打率.286,被BABIP.331,被出塁率.345,被長打率.386,K/BB2.15,K/96.91,BB/93.21,HR/90.64,GO/AO1.09,援護率0.00,IPR3.18,NHB%23.6%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.31,82.5%,1.81,0.21,-0.09,458,11.0,2,0,54.0,17,13,44,
