アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,59,35.5%,安打,60,73.2%
フライ,54,32.5%,四死球,22,26.8%
空三振,36,21.7%,失策出塁,0,0.0%
見三振,7,4.2%,野選,0,0.0%
犠打,10,6.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
