NOI0.0,GPA.000,RC-0.42,RC27-2.81,XR-0.38,XR27-2.54,RCAA-0.81,XR+-0.77,RCWIN-0.09,XRWIN-0.09,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.000,-,0.000,0.000,-,50.0%,
