左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
61.5% (8),61.5% (8),61.5% (8),23.1% (3),23.1% (3),23.1% (3),15.4% (2),15.4% (2),15.4% (2)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
100.0% (2),- (0),54.5% (6),0.0% (0),- (0),27.3% (3),0.0% (0),- (0),18.2% (2)
