条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.226,92,84,19,0,1,3,27,5,0,2,1
対左打者,0.117,119,111,13,5,0,0,38,6,0,2,0
