アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,13,41.9%,安打,9,60.0%
フライ,13,41.9%,四死球,5,33.3%
空三振,5,16.1%,失策出塁,1,6.7%
見三振,0,0.0%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
