球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,21,30.4%,146.2,2,1,3,9,28.6%,18.2%,.286,7,2,0,1,0,0
フォーク,18,26.1%,138.3,2,3,4,7,50.0%,25.0%,.000,3,0,0,1,0,0
スライダー,8,11.6%,129.4,1,4,1,2,75.0%,50.0%,-,0,0,0,0,0,0
スプリット,5,7.2%,139.0,3,1,0,0,80.0%,75.0%,.000,2,0,0,1,0,0
ツーシーム,4,5.8%,146.5,0,0,1,2,25.0%,0.0%,.000,1,0,0,0,0,0
ナックルカーブ,3,4.3%,128.0,1,0,1,1,66.7%,50.0%,.000,1,0,0,1,0,0
チェンジアップ,3,4.3%,138.0,0,1,1,0,66.7%,0.0%,.000,1,0,0,0,0,0
カットボール,3,4.3%,136.7,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
カーブ,2,2.9%,128.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
シュート,2,2.9%,147.5,0,0,0,2,0.0%,-%,-,0,0,0,0,1,0
