NOI218.1,GPA.111,RC-0.43,RC27-0.78,XR-0.32,XR27-0.58,RCAA-2.05,XR+-1.95,RCWIN-0.24,XRWIN-0.23,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.051,17.00,4.25,0.000,-,0.063,0.200,-,29.4%,
