NOI0.0,GPA.000,RC-0.90,RC27-2.43,XR-0.81,XR27-2.19,RCAA-1.85,XR+-1.77,RCWIN-0.22,XRWIN-0.21,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.000,-,0.000,0.000,-,50.0%,
