防御率4.00,試合2,先発1,救援1,連投(試)0,連投(日)0,勝利1,敗戦1,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,9.0,38,133,14.8,10,0,6,1,1,0,0,0,4,4,1.22,100.0%
