アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,7,25.9%,安打,10,90.9%
フライ,14,51.9%,四死球,1,9.1%
空三振,2,7.4%,失策出塁,0,0.0%
見三振,4,14.8%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
