打率.260,試合116,打席447,打数400,得点36,安打104,内安10,内安率9.6,２Ｂ20,３Ｂ1,本塁9,HR勝敗6-3-0,塁打153,打点43,三振57
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
35,2,3,4,5,1,2,33.3,7,0,15,.227,.321,.383,.703
