打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,96,29,0.302,0,14,11,0,1,0.37
2打席目,98,22,0.224,5,7,8,0,1,0.28
3打席目,96,32,0.333,3,12,9,2,0,0.39
4打席目,79,19,0.241,1,18,7,2,2,0.295
5打席目以上,25,1,0.04,0,5,1,0,0,0.077
